gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges
Female,0,Yes,No,Yes,No,0,Yes,Yes,No,Yes,No,Yes,2,No,Mailed check,70.6
Male,0,Yes,Yes,Yes,Yes,2,Yes,No,Yes,No,Yes,Yes,2,Yes,Bank transfer (automatic),106.1
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Mailed check,20.0
Female,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Yes,Bank transfer (automatic),25.6
Male,1,Yes,Yes,Yes,No,0,No,Yes,No,Yes,Yes,Yes,1,Yes,Electronic check,76.05
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),19.85
Female,0,No,No,Yes,Yes,2,No,No,Yes,No,Yes,Yes,1,Yes,Bank transfer (automatic),100.5
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Mailed check,18.7
Female,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),25.25
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Yes,Bank transfer (automatic),19.15
Male,0,No,No,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Electronic check,25.0
Male,0,No,No,Yes,Yes,2,No,No,Yes,No,No,Yes,1,No,Credit card (automatic),89.4
Male,1,Yes,No,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,0,Yes,Bank transfer (automatic),104.15
Male,0,No,No,Yes,No,0,No,Yes,Yes,Yes,Yes,Yes,1,Yes,Bank transfer (automatic),80.4
Male,1,No,No,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,1,Yes,Electronic check,104.35
Female,0,No,No,Yes,Yes,2,No,No,Yes,Yes,Yes,Yes,0,Yes,Credit card (automatic),107.5
Male,0,No,No,Yes,Yes,2,No,No,No,No,No,No,1,Yes,Credit card (automatic),73.25
Male,1,Yes,No,Yes,Yes,2,Yes,No,No,No,Yes,Yes,1,No,Electronic check,101.85
Female,0,No,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,24.0
Female,0,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,No,No,No,1,Yes,Bank transfer (automatic),67.45
Male,0,No,No,Yes,No,2,Yes,No,Yes,No,No,No,1,Yes,Mailed check,79.85
Female,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Yes,Credit card (automatic),24.95
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),19.75
Male,0,Yes,No,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),25.6
Male,0,Yes,No,Yes,No,0,Yes,No,No,Yes,No,No,0,No,Bank transfer (automatic),54.5
Male,0,Yes,Yes,Yes,No,0,No,Yes,No,Yes,Yes,Yes,0,Yes,Credit card (automatic),73.35
Female,0,No,No,Yes,Yes,0,No,No,No,Yes,Yes,No,1,No,Electronic check,64.6
Female,0,No,Yes,Yes,No,2,No,No,Yes,Yes,Yes,Yes,1,Yes,Bank transfer (automatic),98.1
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Bank transfer (automatic),20.0
Female,0,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,0,No,Mailed check,88.1
Male,0,No,No,No,No phone service,0,No,No,Yes,No,No,No,1,Yes,Bank transfer (automatic),30.2
Male,0,No,No,Yes,No,2,No,No,No,No,Yes,No,1,No,Electronic check,79.0
Female,0,No,Yes,No,No phone service,0,No,No,Yes,No,No,No,1,Yes,Mailed check,29.8
Male,0,No,No,Yes,No,0,Yes,Yes,Yes,No,No,No,0,No,Electronic check,61.4
Female,0,Yes,Yes,Yes,Yes,2,No,No,No,No,Yes,Yes,1,Yes,Bank transfer (automatic),95.4
Male,0,Yes,Yes,Yes,Yes,2,No,No,Yes,No,Yes,Yes,1,Yes,Credit card (automatic),99.45
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Mailed check,19.65
Female,0,No,No,Yes,Yes,2,No,No,No,No,No,No,1,No,Electronic check,75.35
Male,0,No,No,Yes,No,2,No,No,No,Yes,No,Yes,2,Yes,Credit card (automatic),87.7
Male,0,No,Yes,Yes,No,0,No,No,No,No,Yes,No,1,Yes,Credit card (automatic),54.7
Female,0,Yes,Yes,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,1,Yes,Credit card (automatic),102.1
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,19.9
Female,0,No,No,Yes,No,0,No,No,No,No,No,No,1,No,Mailed check,45.35
Male,0,Yes,No,Yes,Yes,0,No,No,Yes,Yes,Yes,Yes,0,No,Credit card (automatic),79.8
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,20.7
Male,1,No,No,Yes,Yes,2,No,Yes,No,No,Yes,No,1,Yes,Electronic check,88.95
Female,0,Yes,No,No,No phone service,0,No,Yes,Yes,Yes,Yes,Yes,0,No,Bank transfer (automatic),58.25
Female,0,No,No,No,No phone service,0,No,No,No,No,No,No,1,No,Mailed check,24.4
Male,1,Yes,No,Yes,Yes,2,No,Yes,No,No,No,Yes,1,Yes,Bank transfer (automatic),89.8
Male,0,Yes,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Bank transfer (automatic),114.7
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,19.45
Female,0,No,No,Yes,No,2,Yes,No,No,Yes,Yes,Yes,1,Yes,Bank transfer (automatic),98.9
Female,0,No,No,Yes,Yes,2,No,Yes,No,No,Yes,No,1,Yes,Bank transfer (automatic),89.75
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Mailed check,19.3
Female,0,Yes,No,Yes,Yes,2,No,No,Yes,No,Yes,No,0,Yes,Bank transfer (automatic),89.95
Female,0,No,No,No,No phone service,0,No,No,No,No,Yes,Yes,1,No,Credit card (automatic),45.0
Male,0,No,No,Yes,Yes,0,No,No,No,No,No,No,1,No,Mailed check,50.4
Male,0,No,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Credit card (automatic),20.05
Male,0,Yes,Yes,Yes,Yes,2,Yes,Yes,Yes,No,Yes,Yes,0,Yes,Credit card (automatic),108.4
Male,0,No,No,Yes,No,0,Yes,Yes,No,Yes,Yes,Yes,1,Yes,Mailed check,79.0
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Yes,Bank transfer (automatic),19.25
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),19.8
Male,0,Yes,No,Yes,No,0,Yes,No,No,Yes,Yes,Yes,2,No,Bank transfer (automatic),74.4
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,19.95
Female,0,No,No,Yes,No,2,No,No,No,Yes,Yes,No,1,No,Electronic check,85.15
Male,0,Yes,No,Yes,No,0,Yes,Yes,No,Yes,Yes,Yes,0,Yes,Mailed check,81.05
Female,0,No,No,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Bank transfer (automatic),91.35
Female,0,No,No,Yes,No,2,No,No,No,No,No,No,1,Yes,Electronic check,70.7
Female,1,No,No,Yes,No,0,Yes,Yes,No,No,No,No,1,Yes,Credit card (automatic),57.15
Female,0,No,Yes,Yes,Yes,0,No,Yes,Yes,Yes,Yes,Yes,2,Yes,Electronic check,84.6
Female,0,No,No,Yes,No,0,No,No,Yes,No,No,No,1,Yes,Mailed check,50.45
Female,0,Yes,Yes,Yes,No,0,Yes,Yes,No,Yes,No,Yes,0,No,Bank transfer (automatic),68.25
Female,1,No,No,Yes,Yes,2,No,No,No,No,Yes,Yes,1,Yes,Electronic check,96.4
Male,1,No,No,Yes,Yes,2,No,Yes,No,No,No,No,1,Yes,Electronic check,80.5
Male,0,Yes,Yes,Yes,No,2,Yes,Yes,No,Yes,Yes,Yes,0,Yes,Credit card (automatic),106.35
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Bank transfer (automatic),20.2
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Bank transfer (automatic),19.3
Female,0,Yes,No,Yes,Yes,0,No,No,Yes,Yes,No,No,2,No,Bank transfer (automatic),58.35
Female,0,Yes,Yes,Yes,No,2,No,Yes,No,No,No,No,1,Yes,Bank transfer (automatic),73.55
Female,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Yes,Bank transfer (automatic),24.1
Male,0,Yes,No,Yes,Yes,2,No,No,No,No,No,No,1,Yes,Electronic check,74.95
Male,0,Yes,No,Yes,No,0,Yes,No,Yes,No,No,No,1,No,Mailed check,55.7
Female,0,No,No,Yes,No,0,No,No,No,No,No,No,1,No,Mailed check,45.95
Female,0,No,No,Yes,Yes,0,No,No,No,Yes,No,No,1,Yes,Mailed check,54.35
Male,0,No,No,No,No phone service,0,No,No,No,No,No,Yes,1,Yes,Bank transfer (automatic),35.25
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Bank transfer (automatic),19.8
Male,0,No,Yes,Yes,No,2,Yes,Yes,No,Yes,Yes,Yes,2,Yes,Electronic check,105.85
Female,0,Yes,No,Yes,Yes,2,Yes,No,Yes,No,Yes,Yes,2,Yes,Mailed check,104.4
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Mailed check,19.35
Female,1,No,No,No,No phone service,0,No,No,No,No,No,Yes,1,Yes,Electronic check,34.7
Female,0,Yes,No,Yes,No,2,No,No,Yes,Yes,No,No,2,No,Electronic check,79.2
Female,0,No,No,Yes,No,0,No,No,No,No,No,Yes,1,Yes,Electronic check,56.2
Female,1,No,No,Yes,No,2,No,No,No,No,Yes,Yes,1,Yes,Electronic check,89.15
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Yes,Credit card (automatic),20.3
Female,0,No,No,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),25.45
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Electronic check,20.4
Male,0,Yes,Yes,Yes,Yes,0,Yes,No,Yes,Yes,Yes,Yes,0,Yes,Bank transfer (automatic),85.4
Male,0,No,No,Yes,No,0,No,No,No,Yes,No,No,1,Yes,Mailed check,50.55
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Mailed check,19.9
Male,0,Yes,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Mailed check,18.8
Male,0,Yes,No,Yes,No,2,Yes,Yes,No,Yes,No,No,0,No,Bank transfer (automatic),84.6
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Bank transfer (automatic),20.2
Male,0,Yes,Yes,No,No phone service,0,Yes,Yes,Yes,Yes,No,Yes,0,Yes,Mailed check,56.4
Male,0,Yes,Yes,Yes,No,2,No,Yes,No,No,Yes,No,1,Yes,Mailed check,86.3
Male,0,Yes,No,Yes,Yes,0,Yes,No,Yes,No,Yes,Yes,2,No,Mailed check,79.25
Male,0,Yes,Yes,No,No phone service,0,Yes,No,No,No,No,No,1,Yes,Bank transfer (automatic),30.2
Male,0,No,No,Yes,Yes,2,No,No,Yes,No,Yes,No,1,Yes,Electronic check,90.45
Male,1,Yes,No,Yes,No,0,Yes,Yes,No,No,No,Yes,1,Yes,Bank transfer (automatic),64.95
Female,1,Yes,Yes,Yes,No,2,Yes,No,No,Yes,Yes,No,1,Yes,Mailed check,88.3
Female,0,Yes,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,19.85
Male,0,Yes,Yes,Yes,Yes,0,Yes,Yes,No,Yes,No,No,2,Yes,Credit card (automatic),66.85
Male,0,No,No,Yes,No,0,No,Yes,No,No,No,No,1,Yes,Electronic check,50.75
Female,0,Yes,Yes,Yes,Yes,2,No,Yes,No,No,No,No,1,Yes,Credit card (automatic),79.95
Male,1,No,No,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,1,Yes,Electronic check,110.75
Female,0,No,No,Yes,No,0,Yes,Yes,No,Yes,No,No,2,Yes,Credit card (automatic),62.55
Female,0,No,No,Yes,Yes,2,No,No,No,Yes,Yes,No,1,No,Electronic check,90.15
Female,0,No,No,Yes,Yes,2,No,No,No,No,No,No,1,Yes,Mailed check,75.75
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Mailed check,20.1
Female,0,No,Yes,Yes,Yes,2,No,No,No,Yes,No,No,2,Yes,Credit card (automatic),79.5
Female,0,No,No,Yes,No,2,No,No,No,No,No,No,1,Yes,Electronic check,70.95
Male,0,Yes,Yes,Yes,Yes,2,No,No,Yes,No,Yes,Yes,2,No,Electronic check,100.0
Male,0,Yes,No,Yes,Yes,0,No,No,Yes,No,Yes,No,1,No,Electronic check,65.6
Male,0,No,No,Yes,No,0,Yes,No,No,No,No,Yes,1,Yes,Bank transfer (automatic),59.15
Female,1,No,No,Yes,Yes,2,No,No,No,No,No,Yes,1,Yes,Electronic check,84.6
Female,0,Yes,Yes,Yes,No,0,Yes,No,No,Yes,No,No,2,No,Bank transfer (automatic),54.15
Female,0,No,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Electronic check,19.6
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Bank transfer (automatic),20.2
Male,1,Yes,No,Yes,Yes,2,No,No,Yes,No,Yes,Yes,1,Yes,Electronic check,99.8
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Mailed check,19.9
Male,1,No,No,No,No phone service,0,Yes,No,No,No,Yes,Yes,1,Yes,Credit card (automatic),48.8
Female,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Bank transfer (automatic),25.2
Female,0,Yes,No,Yes,No,0,No,No,No,Yes,No,No,2,Yes,Mailed check,51.45
Female,0,No,No,Yes,No,2,Yes,Yes,Yes,No,No,No,1,Yes,Credit card (automatic),83.9
Female,0,Yes,No,No,No phone service,0,Yes,Yes,Yes,No,No,Yes,2,No,Electronic check,50.05
Male,0,No,No,Yes,No,0,No,No,No,No,No,Yes,1,No,Mailed check,54.65
Female,0,Yes,No,Yes,Yes,2,No,No,No,No,Yes,Yes,1,No,Credit card (automatic),95.0
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Bank transfer (automatic),20.15
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,20.45
Female,0,No,No,Yes,No,2,No,No,No,No,No,No,1,Yes,Electronic check,69.85
Female,0,No,No,Yes,Yes,2,No,No,Yes,Yes,No,Yes,0,Yes,Bank transfer (automatic),95.1
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,19.65
Female,0,Yes,Yes,No,No phone service,0,Yes,No,No,Yes,No,No,2,No,Credit card (automatic),33.15
Female,0,Yes,Yes,Yes,No,2,Yes,No,Yes,No,Yes,Yes,2,No,Electronic check,100.3
Female,0,No,No,Yes,Yes,2,No,No,No,No,No,No,1,Yes,Electronic check,73.85
Female,1,Yes,No,Yes,Yes,2,Yes,No,Yes,Yes,Yes,Yes,2,Yes,Mailed check,109.55
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Mailed check,20.45
Male,0,Yes,Yes,No,No phone service,0,Yes,Yes,Yes,No,Yes,Yes,2,No,Electronic check,59.3
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),20.5
Female,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Mailed check,24.05
Female,0,Yes,No,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,2,Yes,Electronic check,101.35
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Mailed check,19.65
Female,0,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Credit card (automatic),92.9
Male,1,Yes,Yes,Yes,No,2,Yes,No,Yes,Yes,Yes,Yes,0,Yes,Credit card (automatic),104.1
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Mailed check,19.65
Male,0,No,No,Yes,No,2,No,No,No,No,Yes,No,1,No,Electronic check,77.85
Female,1,No,No,Yes,Yes,0,Yes,Yes,No,No,No,No,1,Yes,Bank transfer (automatic),58.55
Female,0,No,No,Yes,No,2,No,No,No,No,No,No,1,No,Mailed check,69.55
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,19.2
Male,1,Yes,No,Yes,Yes,2,Yes,Yes,Yes,No,No,No,1,Yes,Electronic check,88.2
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Bank transfer (automatic),19.35
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,19.75
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Bank transfer (automatic),19.8
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Bank transfer (automatic),20.05
Male,0,Yes,Yes,Yes,No,2,Yes,No,No,No,Yes,Yes,1,No,Credit card (automatic),94.65
Male,0,Yes,No,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Credit card (automatic),88.7
Female,0,No,No,No,No phone service,0,No,No,Yes,No,Yes,Yes,1,Yes,Credit card (automatic),50.65
Male,0,No,No,Yes,No,2,No,No,No,No,No,No,1,Yes,Electronic check,69.55
Female,0,No,No,No,No phone service,0,No,Yes,Yes,Yes,No,No,0,No,Credit card (automatic),39.7
Female,0,No,No,Yes,Yes,2,Yes,Yes,Yes,No,Yes,Yes,0,Yes,Credit card (automatic),106.75
Male,0,Yes,Yes,Yes,Yes,2,No,No,Yes,Yes,Yes,No,0,Yes,Bank transfer (automatic),94.9
Female,0,No,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Bank transfer (automatic),20.5
Female,1,No,No,Yes,Yes,2,No,Yes,No,No,Yes,Yes,1,Yes,Electronic check,99.7
Male,0,No,No,Yes,No,0,Yes,No,Yes,No,No,Yes,1,No,Credit card (automatic),64.4
Male,1,Yes,No,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,0,Yes,Electronic check,109.95
Male,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Mailed check,24.55
Male,1,Yes,No,Yes,Yes,2,No,No,Yes,No,No,No,2,Yes,Bank transfer (automatic),81.6
Female,0,No,Yes,Yes,No,0,No,No,Yes,Yes,Yes,Yes,1,Yes,Mailed check,72.9
Male,0,Yes,No,Yes,Yes,2,No,Yes,Yes,No,No,No,1,Yes,Electronic check,82.65
Female,0,Yes,No,No,No phone service,0,Yes,No,Yes,Yes,No,Yes,0,No,Electronic check,47.85
Male,0,No,No,Yes,Yes,0,Yes,Yes,Yes,Yes,No,No,0,No,Bank transfer (automatic),69.65
Male,0,Yes,No,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Mailed check,23.6
Male,0,Yes,Yes,Yes,Yes,0,No,No,Yes,No,Yes,Yes,1,Yes,Electronic check,74.55
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Credit card (automatic),19.7
Female,0,Yes,No,Yes,No,0,No,No,No,No,No,No,1,Yes,Electronic check,44.05
Female,0,No,No,Yes,Yes,2,No,No,No,No,No,No,1,Yes,Electronic check,73.5
Male,0,Yes,Yes,No,No phone service,0,Yes,No,Yes,Yes,No,No,2,No,Electronic check,40.3
Male,0,No,No,No,No phone service,0,Yes,No,Yes,No,No,No,1,No,Mailed check,33.6
Female,0,No,No,Yes,No,2,No,Yes,No,No,Yes,Yes,1,Yes,Electronic check,96.25
Male,0,No,Yes,Yes,No,0,Yes,Yes,No,Yes,No,Yes,1,Yes,Bank transfer (automatic),70.45
Female,0,No,No,No,No phone service,0,No,No,No,Yes,No,No,1,No,Mailed check,30.55
Female,0,No,No,No,No phone service,0,Yes,Yes,No,No,Yes,No,1,Yes,Electronic check,44.8
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Mailed check,20.0
Male,1,Yes,No,Yes,No,2,No,No,No,No,No,Yes,1,No,Bank transfer (automatic),81.5
Male,0,Yes,Yes,Yes,Yes,2,No,No,Yes,Yes,No,Yes,0,No,Bank transfer (automatic),94.35
Male,0,No,No,No,No phone service,0,Yes,No,Yes,No,No,No,2,No,Mailed check,35.3
Female,0,No,No,Yes,No,0,No,Yes,No,No,No,No,1,No,Credit card (automatic),50.7
Male,0,Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,Yes,1,Yes,Electronic check,106.05
Female,0,Yes,Yes,Yes,No,0,No,Yes,No,Yes,No,No,1,No,Bank transfer (automatic),56.3
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,20.65
Female,1,Yes,Yes,Yes,No,2,No,No,Yes,Yes,Yes,Yes,1,Yes,Electronic check,98.9
Male,0,Yes,Yes,No,No phone service,0,Yes,Yes,Yes,No,No,No,1,No,Bank transfer (automatic),40.2
Male,0,Yes,Yes,Yes,Yes,2,No,No,Yes,No,No,No,1,Yes,Electronic check,81.2
Male,0,Yes,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Credit card (automatic),19.45
Male,0,Yes,No,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Bank transfer (automatic),116.1
Female,0,Yes,Yes,Yes,No,0,No,No,Yes,Yes,No,No,1,No,Credit card (automatic),55.2
Male,0,Yes,No,Yes,No,2,No,No,Yes,No,Yes,Yes,1,Yes,Electronic check,94.45
Male,1,No,No,Yes,Yes,2,No,No,No,No,Yes,No,1,Yes,Electronic check,84.85
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Mailed check,19.6
Male,0,No,No,Yes,No,2,No,Yes,Yes,No,No,No,1,Yes,Credit card (automatic),79.0
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Bank transfer (automatic),19.7
Female,0,Yes,Yes,Yes,No,2,No,Yes,No,No,No,No,1,Yes,Electronic check,74.7
Male,0,Yes,No,No,No phone service,0,No,Yes,No,No,No,No,1,No,Electronic check,30.4
Female,1,No,No,Yes,No,0,Yes,No,Yes,No,No,No,1,Yes,Electronic check,55.8
Male,0,No,No,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,No,2,No,Credit card (automatic),104.5
Female,1,No,No,Yes,No,2,No,No,No,No,No,No,1,Yes,Electronic check,70.55
Male,0,Yes,No,Yes,Yes,0,Yes,Yes,No,Yes,Yes,No,0,No,Credit card (automatic),73.5
Male,0,Yes,Yes,Yes,No,0,No,No,Yes,Yes,No,No,0,Yes,Credit card (automatic),55.25
Male,0,Yes,Yes,Yes,No,2,No,No,Yes,No,Yes,Yes,1,Yes,Mailed check,96.65
Female,1,No,No,Yes,Yes,2,No,No,Yes,No,No,Yes,1,Yes,Electronic check,88.85
Female,0,Yes,Yes,Yes,Yes,2,Yes,Yes,Yes,No,Yes,Yes,0,No,Bank transfer (automatic),109.25
Female,1,No,No,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,1,No,Electronic check,104.75
Female,1,No,No,Yes,No,2,No,Yes,No,No,No,No,1,Yes,Electronic check,74.4
Female,0,No,No,Yes,No,2,No,No,No,No,Yes,No,1,Yes,Electronic check,79.4
Male,1,No,No,Yes,Yes,0,Yes,No,Yes,Yes,No,Yes,0,No,Credit card (automatic),74.1
Female,0,Yes,No,Yes,No,0,No,Yes,No,Yes,Yes,Yes,1,Yes,Electronic check,73.05
Female,0,No,No,Yes,No,2,Yes,No,No,No,Yes,Yes,1,Yes,Electronic check,94.6
Female,0,Yes,No,Yes,No,2,No,No,No,No,No,No,1,Yes,Electronic check,70.35
Male,1,No,No,Yes,Yes,2,No,Yes,No,No,No,No,2,Yes,Bank transfer (automatic),79.6
Male,0,No,No,Yes,No,2,Yes,No,Yes,No,No,No,1,Yes,Bank transfer (automatic),79.5
Male,0,No,No,Yes,Yes,2,No,No,Yes,No,No,Yes,1,Yes,Credit card (automatic),90.7
Female,0,No,No,Yes,Yes,2,No,Yes,No,No,No,No,1,Yes,Credit card (automatic),81.0
Male,0,No,No,Yes,Yes,2,Yes,No,No,No,Yes,No,1,Yes,Bank transfer (automatic),87.75
Female,0,No,No,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Electronic check,118.65
Female,0,No,No,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Credit card (automatic),24.8
Male,0,Yes,Yes,Yes,Yes,2,Yes,No,Yes,No,Yes,Yes,0,No,Bank transfer (automatic),105.25
Female,0,Yes,No,No,No phone service,0,No,Yes,Yes,Yes,Yes,Yes,0,No,Bank transfer (automatic),57.8
Female,0,Yes,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Credit card (automatic),19.0
Female,1,Yes,No,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,25.7
Female,0,Yes,No,No,No phone service,0,No,Yes,Yes,No,Yes,Yes,0,Yes,Electronic check,54.2
Male,0,Yes,Yes,No,No phone service,0,No,No,Yes,Yes,Yes,No,1,Yes,Electronic check,44.85
Male,0,No,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,Bank transfer (automatic),19.95
Female,0,Yes,Yes,Yes,No,2,No,No,No,No,No,Yes,1,Yes,Electronic check,81.05
